Key	English	Context	Japanese	French	Spanish	German	Italian	TPCi Comment (Edited English)	TPCi Comment 
badge_battle_defend_won	Won {0} defense battles!		{0} 回ジムを防衛した！	{0} combats en défense gagnés.	Combates de defensa ganados: {0}	{0} Verteidigungskämpfe gewonnen!	Lotte difensive vinte: {0}	Won {0} defense battles!	
badge_battle_defend_won_title	Defense Battles Won		ジム防衛回数	Combats Défense gagnés.	Combates de defensa ganados	Gewonnene Vert.-Kämpfe	Lotte difensive vinte	Defense Battles Won	
badge_battle_defend_won_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_prestige_raised	Raised {0} total Gym Prestige!		ジムの名声を {0} 上げた！	Prestige d'Arènes augmenté de {0}.	Prestigio del Gimnasio total aumentado en: {0}	Arena-Prestige um {0} erhöht!	Prestigio totale delle Palestre aumentato di: {0}	Raised {0} total Gym Prestige!	
badge_prestige_raised_title	Prestige Raised		ジム名声アップ	Prestige augmenté	Prestigio aumentado	Prestige erhöht	Aumento di prestigio	Prestige Raised	Was "Raised Prestige" Note: May need to go with Prestige (up arrow) and (down arrow) if restricted to single line
badge_prestige_raised_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_prestige_dropped	Reduced {0} total Gym Prestige!		ジムの名声を {0} 落とした！	Prestige d'Arènes réduit de {0}.	Prestigio del Gimnasio total disminuido en: {0}	Arena-Prestige um {0} herabgesetzt!	Prestigio totale delle Palestre diminuito di: {0}	Reduced {0} total Gym Prestige!	
badge_prestige_dropped_title	Reduced Prestige		ジム名声ダウン	Prestige réduit	Prestigio disminuido	Prestige gesenkt	Calo di prestigio	Reduced Prestige	Maybe should be GYMS DEFEATED?
badge_prestige_dropped_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_normal	Caught {0} Normal-type Pokémon.		ノーマルタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type normal attrapés.	Pokémon de tipo Normal capturados: {0}	{0} Pokémon vom Typ Normal gefangen!	Numero di Pokémon di tipo Normale catturati: {0}	Caught {0} Normal-type Pokémon!	
badge_type_normal_title	Schoolkid		じゅくがえり	Élève	Escolar	Schulkind	Scolaro	Schoolkid	
badge_type_normal_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_fighting	Caught {0} Fighting-type Pokémon.		かくとうタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Combat attrapés.	Pokémon de tipo Lucha capturados: {0}	{0} Pokémon vom Typ Kampf gefangen!	Numero di Pokémon di tipo Lotta catturati: {0}	Caught {0} Fighting-type Pokémon!	
badge_type_fighting_title	Black Belt		カラテおう	Karatéka	Karateka	Schwarzgurt	Cinturanera	Fighting Pokémon	
badge_type_fighting_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_flying	Caught {0} Flying-type Pokémon.		ひこうタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Vol attrapés.	Pokémon de tipo Volador capturados: {0}	{0} Pokémon vom Typ Flug gefangen!	Numero di Pokémon di tipo Volante catturati: {0}	Caught {0} Flying-type Pokémon!	
badge_type_flying_title	Bird Keeper		とりつかい	Ornithologue	Ornitólogo	Vogelfänger 	Avicoltore	Flying Pokémon	
badge_type_flying_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_poison	Caught {0} Poison-type Pokémon.		どくタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Poison attrapés.	Pokémon de tipo Veneno capturados: {0}	{0} Pokémon vom Typ Gift gefangen!	Numero di Pokémon di tipo Veleno catturati: {0}	Caught {0} Poison-type Pokémon!	
badge_type_poison_title	Punk Girl		バッドガール	Vaurienne	Chica Mala	Punker	Ribelle	Poison Pokémon	
badge_type_poison_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_ground	Caught {0} Ground-type Pokémon.		じめんタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Sol attrapés.	Pokémon de tipo Tierra capturados: {0}	{0} Pokémon vom Typ Boden gefangen!	Numero di Pokémon di tipo Terra catturati: {0}	Caught {0} Ground-type Pokémon!	
badge_type_ground_title	Ruin Maniac		いせきマニア	Ruinemaniac	Ruinamaníaco	Ruinenmaniac	Scoprirovine	Ground Pokémon	
badge_type_ground_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_rock	Caught {0} Rock-type Pokémon.		いわタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Roche attrapés.	Pokémon de tipo Roca capturados: {0}	{0} Pokémon vom Typ Gestein gefangen!	Numero di Pokémon di tipo Roccia catturati: {0}	Caught {0} Rock-type Pokémon!	
badge_type_rock_title	Hiker		やまおとこ	Montagnard	Montañero	Wanderer	Montanaro	Rock Pokémon	
badge_type_rock_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_bug	Caught {0} Bug-type Pokémon.		むしタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Insecte attrapés.	Pokémon de tipo Bicho capturados: {0}	{0} Pokémon vom Typ Käfer gefangen!	Numero di Pokémon di tipo Coleottero catturati: {0}	Caught {0} Bug-type Pokémon!	
badge_type_bug_title	Bug Catcher		むしとりしょうねん	Scout	Cazabichos	Käfersammler	Pigliamosche	Bug Pokémon	
badge_type_bug_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_ghost	Caught {0} Ghost-type Pokémon.		ゴーストタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Spectre attrapés.	Pokémon de tipo Fantasma capturados: {0}	{0} Pokémon vom Typ Geist gefangen!	Numero di Pokémon di tipo Spettro catturati: {0}	Caught {0} Ghost-type Pokémon!	
badge_type_ghost_title	Hex Maniac		オカルトマニア	Mystimaniac	Bruja	Hexe	Streghetta	Ghost Pokémon	
badge_type_ghost_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_steel	Caught {0} Steel-type Pokémon.		はがねタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Acier attrapés.	Pokémon de tipo Acero capturados: {0}	{0} Pokémon vom Typ Stahl gefangen!	Numero di Pokémon di tipo Acciaio catturati: {0}	Caught {0} Steel-type Pokémon!	
badge_type_steel_title	Depot Agent		てつどういん	Contrôleur	Ferroviario	Eisenbahner	Ferroviere	Steel Pokémon	
badge_type_steel_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_fire	Caught {0} Fire-type Pokémon.		ほのおタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Feu attrapés.	Pokémon de tipo Fuego capturados: {0}	{0} Pokémon vom Typ Feuer gefangen!	Numero di Pokémon di tipo Fuoco catturati: {0}	Caught {0} Fire-type Pokémon!	
badge_type_fire_title	Kindler		キャンプファイヤー	Saltimbanque	Prendefuegos	Hitzkopf	Brandifuoco	Fire Pokémon	
badge_type_fire_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_water	Caught {0} Water-type Pokémon.		みずタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Eau attrapés.	Pokémon de tipo Agua capturados: {0}	{0} Pokémon vom Typ Wasser gefangen!	Numero di Pokémon di tipo Acqua catturati: {0}	Caught {0} Water-type Pokémon!	
badge_type_water_title	Swimmer		かいパンやろう	Nageur	Nadador	Schwimmer	Nuotatore	Water Pokémon	
badge_type_water_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_grass	Caught {0} Grass-type Pokémon.		くさタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Plante attrapés.	Pokémon de tipo Planta capturados: {0}	{0} Pokémon vom Typ Pflanze gefangen!	Numero di Pokémon di tipo Erba catturati: {0}	Caught {0} Grass-type Pokémon!	
badge_type_grass_title	Gardener		にわし	Jardinier	Jardinero	Gärtner	Giardiniere	Grass Pokémon	
badge_type_grass_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_electric	Caught {0} Electric-type Pokémon.		でんきタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Électrik attrapés.	Pokémon de tipo Eléctrico capturados: {0}	{0} Pokémon vom Typ Elektro gefangen!	Numero di Pokémon di tipo Elettro catturati: {0}	Caught {0} Electric-type Pokémon!	
badge_type_electric_title	Rocker		でんきグループ	Rocker	Rockero	Rocker	Rockettaro	Electric Pokémon	
badge_type_electric_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_psychic	Caught {0} Psychic-type Pokémon.		エスパータイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Psy attrapés.	Pokémon de tipo Psíquico capturados: {0}	{0} Pokémon vom Typ Psycho gefangen!	Numero di Pokémon di tipo Psico catturati: {0}	Caught {0} Psychic-type Pokémon!	
badge_type_psychic_title	Psychic		サイキッカー	Kinésiste	Médium	Psycho	Sensitivo	Psychic Pokémon	
badge_type_psychic_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_ice	Caught {0} Ice-type Pokémon.		タイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Glace attrapés.	Pokémon de tipo Hielo capturados: {0}	{0} Pokémon vom Typ Eis gefangen!	Numero di Pokémon di tipo Ghiaccio catturati: {0}	Caught {0} Ice-type Pokémon!	
badge_type_ice_title	Skier		スキーヤー	Skieur	Esquiador	Skifahrer	Sciatore	Ice Pokémon	
badge_type_ice_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_dragon	Caught {0} Dragon-type Pokémon.		ドラゴンタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Dragon attrapés.	Pokémon de tipo Dragón capturados: {0}	{0} Pokémon vom Typ Drache gefangen!	Numero di Pokémon di tipo Drago catturati: {0}	Caught {0} Dragon-type Pokémon!	
badge_type_dragon_title	Dragon Tamer		ドラゴンつかい	Dracologue	Domadragón	Drachenprofi	Domadraghi	Dragon Pokémon	
badge_type_dragon_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_dark	Caught {0} Dark-type Pokémon.		あくタイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Ténèbres attrapés.	Pokémon de tipo Siniestro capturados: {0}	{0} Pokémon vom Typ Unlicht gefangen!	Numero di Pokémon di tipo Buio catturati: {0}	Caught {0} Dark-type Pokémon!	
badge_type_dark_title	Delinquent		こわいおねえさん	Terreur	Macarra	Halbstarke 	Tipaccia	Dark Pokémon	
badge_type_dark_value_format	N0		N0	N0	N0	N0	N0	N0	
badge_type_fairy	Caught {0} Fairy-type Pokémon.		フェアリータイプのポケモンを {0} 匹捕まえた！	{0} Pokémon de type Fée attrapés.	Pokémon de tipo Hada capturados: {0}	{0} Pokémon vom Typ Fee gefangen!	Numero di Pokémon di tipo Folletto catturati: {0}	Caught {0} Fairy-type Pokémon!	
badge_type_fairy_title	Fairy Tale Girl		メルヘンしょうじょ	Fillette de Conte	Niña Soñadora	Träumerin	Ragazza delle fiabe	Fairy Pokémon	
badge_type_fairy_value_format	N0		N0	N0	N0	N0	N0	N0	
battle_pokemon_already_in_list	Already selected for battle	When you select the same pokemon to be in battle list again	すでに手持ちに入っています	Déjà choisi pour le combat.	Seleccionado ya para combatir	Bereits zum Kampf ausgewählt	Pokémon già selezionato per la lotta.	Already selected for battle	
boot_loading	LOADING...		LOADING...	Bonjour !	CARGANDO...	Lädt ...	CARICAMENTO...	LOADING...	
boot_beta_warning	This software is under development and is confidential. Please do not share, display, or distribute it to others. 		このソフトは開発中で、一般には非公開のものです。ソフト内で得た情報や画像を他人に見せたり共有したりしないでください。	Logiciel en cours de développement et confidentiel. Veuillez ne pas partager, montrer ou distribuer à autrui.	Este juego está en fase de desarrollo y es confidencial. No se debe compartir, enseñar o distribuir a otras personas.	Diese Software befindet sich in der Entwicklung und ist vertraulich zu behandeln. Nicht teilen, zeigen oder an andere verteilen.	Questo software è ancora in fase di sviluppo e i suoi dati sono riservati. La sua condivisione, rappresentazione e distribuzione sono vietati.	This software is under development and is confidential. Please do not share, display, or distribute it to others. 	
boot_safety_warning	Remember to be alert at all times. Stay aware of your surroundings.		周りをよく見て、常に注意しながらプレイしてください	Sois toujours attentif et regarde autour de toi.	Recuerda que debes estar alerta en todo momento. Presta atención a tus alrededores.	Bleibe wachsam. Behalte immer deine Umgebung im Auge!	Ricorda: durante il gioco presta sempre attenzione all'ambiente che ti circonda.	Remember to be alert at all times. Stay aware of your surroundings.	
boot_safety_warning_0	Remember to be alert at all times. Stay aware of your surroundings.	These safety warnings get randomly picked from every time the player starts up the game. The player must hit OK for each of them in order to play the game. Game is hardcoded to support 5 message (_0 through _4), will need adjustment to add more strings.	周りをよく見て、常に注意しながらプレイしてください	Sois toujours attentif et regarde autour de toi.	Recuerda que debes estar alerta en todo momento. Presta atención a tus alrededores.	Bleibe wachsam. Behalte immer deine Umgebung im Auge!	Ricorda: durante il gioco presta sempre attenzione all'ambiente che ti circonda.	Remember to be alert at all times. Stay aware of your surroundings.	
boot_safety_warning_1	Do not play Pokémon GO while driving.		歩きながら画面を見続けたり、運転中のプレイはやめてください	Ne joue pas à Pokémon GO en conduisant.	No juegues a Pokémon GO mientras conduces.	Spiele Pokémon GO nicht beim Autofahren.	Non giocare a Pokémon GO mentre guidi.	Do not play Pokémon GO while driving.	
boot_safety_warning_2	Do not trespass while playing Pokémon GO.		許可無く立ち入ってはいけない場所や建物には、決して入らないでください	Merci de respecter la propriété d’autrui en jouant à Pokémon GO.	No entres en propiedad privada mientras juegas a Pokémon GO.	Betritt beim Spielen von Pokémon GO keine Privatgrundstücke.	Non ti introdurre in luoghi dove è vietato l'ingresso mentre giochi a Pokémon GO.	Do not trespass while playing Pokémon GO.	
boot_safety_warning_3	Do not enter dangerous areas while playing Pokémon GO.		危険が予想される地域には、立ち入らないでください	Évite les endroits dangereux quand tu joues à Pokémon GO.	No entres en áreas peligrosas mientras juegas a Pokémon GO.	Betritt beim Spielen von Pokémon GO kein gefährliches Gelände.	Non ti introdurre in luoghi pericolosi mentre giochi a Pokémon GO.	Do not enter dangerous areas while playing Pokémon GO.	
boot_safety_warning_4	Be courteous and mindful of others while playing Pokémon GO.		周りの人に対しての尊重と礼儀を持ち、適切なマナーのある行動をしてください	Merci de rester courtois lorsque tu joues à Pokémon GO.	Sé respetuoso y considerado con los demás mientras juegas a Pokémon GO.	Verhalte dich beim Spielen von Pokémon GO aufmerksam und höflich gegenüber anderen.	Sii sempre gentile e rispettoso con gli altri mentre giochi a Pokémon GO. 	Be courteous and mindful of others while playing Pokémon GO.	
confirm_use_effective	{0} was effective.	Message if item was effective. {0} is replaced with item name.	{0} は効果があった！	L'objet {0} a été efficace.	{0} ha funcionado.	{0} war effektiv.	Lo strumento {0} è stato efficace.	{0} was effective.	
confirm_use_ineffective	{0} was not effective.	Message if item was ineffective. {0} is replaced with item name.	{0} は効果がないようだ…	L'objet {0} n’a pas été efficace.	{0} no ha funcionado.	{0} war nicht effektiv.	Lo strumento {0} non è stato efficace.	{0} was not effective.	
confirm_use_tap_to_use	Tap the item to use it.	Prompt telling user to tap the item to use it	道具をタップしてつかう	Touche l’objet pour l’utiliser.	Toca el objeto para usarlo.	Tippe auf das Item, um es zu benutzen.	Tocca lo strumento che desideri usare.	Tap the item to use it.	
date_format	MMM dd, yyyy		yyyy年 M月 d日	dd MMM yyyy	dd de MMM de yyyy	dd.MM.yyyy	dd mmm yyyy	MMM dd, yyyy	
egg_anticipation	What's inside?!	Message on egg received screen.	なにが生まれてくるのかな？	Voyons à l’intérieur...	¡¿Qué hay dentro?!	Was ist wohl drin?!	Cosa conterrà?!	What's inside?!	
egg_hatching	Oh?	Message on egg hatching screen	おや？	Oh ?	¡Anda!	Oh?	Eh?	Oh?	
egg_received	Lucky you! You got an Egg!	Heading of egg received screen	やったー！タマゴを手に入れた！	Veinard ! Tu as eu un œuf.	¡Qué suerte! ¡Es un Huevo!	So ein Glück! Du hast ein Ei erhalten!	Che fortuna! Hai ricevuto un Uovo!	Lucky you! You got an Egg!	
egg_walk_to_hatch	Walk {0} km to hatch the Egg!	Text explaining how far you need to walk to hatch the egg	{0} km 歩いてタマゴをかえそう！	Marche {0} km pour le faire éclore.	¡Recorre {0} km para que eclosione el Huevo!	Laufe {0} km, um das Ei schlüpfen zu lassen!	Per farlo schiudere dovrai camminare un numero di chilometri pari a {0}.	Walk {0} km to hatch the Egg!	
egg_confirm	Summary	This "SUMMARY" is original game text.This is the button name to be used when viewing the Pokemon/Egg of specs.	ようすを見る	Résumé	Datos	Bericht	Sommario	Summary	
encounter_gotcha	Gotcha!		やったー！	Je te tiens !	¡Ya está!	Klasse!	Preso!	Gotcha!	
encounter_pokemon_was_caught	{0} was caught!		{0} を捕まえた！	{0} a été attrapé.	¡{0} atrapado!	{0} wurde gefangen!	Hai catturato {0}!	{0} was caught!	
encounter_pokemon_broke_free	The Pokémon broke free!	Shown in encounter after throwing Pokeball that failed to capture Pokemon. Can use {0} to insert type name of Pokemon.	あ！ボールから抜けだした！	Le Pokémon s’est échappé.	¡El Pokémon se ha escapado!	Das Pokémon hat sich befreit!	Il Pokémon si è liberato!	The Pokémon broke free!	
encounter_pokemon_ran_away	Oh no! The wild {0} fled.		野生の {0} は逃げ出した！	Oh non ! Le {0} sauvage s’est enfui.	¡Oh, no! El {0} salvaje ha huido.	Oh nein! Das wilde {0} ist geflüchtet.	Oh, no! {0} selvatico è scappato!	Oh no! The wild {0} fled.	
encounter_received_evolution_shard	{0} Evolution Shard received!	Displayed when the player earns a evolution shard	{0} の進化のカケラを手にいれた！	Tesson d’évolution {0} reçu	¡Parte evolutiva de {0} recibida!	{0} Entwicklungsscherben erhalten!	Hai ricevuto un numero di schegge evolutive pari a {0}!	{0} Evolution Shard received!	
encounter_no_pokeball	No Poké Balls	Displayed in the encounter when the player ran out of Poké Balls	ボールがありません	Aucune Poké Ball	No quedan Poké Balls...	Keine Pokébälle	Non hai più Poké Ball!	No Poké Balls	
encounter_score_curveball	Curveball		カーブボール	Lancer à effet	Bola curva	Curveball	Palla curva	Curveball	
encounter_score_excellent_throw	Excellent Throw		エクセレントスロー	Excellent lancer	Excelente lanzamiento	Fabelhafter Wurf	Tiro eccellente	Excellent Throw	
encounter_score_first_catch	First Catch of the Day		今日の 1 匹目	Première pêche du jour	Primera captura del día	Erster Fang des Tages	Primo Pokémon catturato oggi	First Catch of the Day	
encounter_score_great_throw	Great Throw		グレートスロー	Superbe lancer	Gran lanzamiento	Toller Wurf	Ottimo tiro	Great Throw	
encounter_score_milestone	Bonus		ボーナス	Bonus	Meta lograda	Bonus	Bonus	Bonus	
encounter_score_new_pokemon	New Pokémon		新しいポケモン	Nouveau Pokémon	Pokémon nuevo	Neues Pokémon	Nuovo Pokémon	New Pokémon	
encounter_score_nice_throw	Nice Throw		ナイススロー	Joli lancer	Buen lanzamiento	Guter Wurf	Bel tiro	Nice Throw	
encounter_score_one_shot	One Shot		ワンショット	Du premier coup	De un lanzamiento	Mit einem Wurf	In un solo colpo	One Shot	
encounter_score_pokemon_caught	Pokémon Caught		ポケモンゲット	Pokémon attrapé	Pokémon atrapado	Pokémon gefangen	Pokémon catturato	Pokémon Caught	
encounter_score_total_exp	{0} XP	The label for the total XP showing up in the encounter score screen	{0} XP	{0} PX	{0} PX	{0} EP	{0} PE	{0} XP	
encounter_miss_throw	Miss...	The message shows up when the throw missed target in encounter	Miss...	Raté...	Has fallado...	Daneben ...	Mancato...	Miss...	
encounter_nice_throw	Nice!		Nice !	Joli !	¡Bien!	Klasse!	Bene!	Nice!	
encounter_excellent_throw	Excellent!		Excellent !	Excellent !	¡Excelente!	Einfach fabelhaft!	Eccellente!	Excellent!	
encounter_great_throw	Great!		Great !	Super !	¡Genial!	Großartig!	Ottimo!	Great!	
encounter_wild_pokemon_appeared	A wild <b>{0}</b> appeared!		<size=36>あ！野生の<b>{0}</b>がとびだしてきた！</size>	Un <b>{0}</b> sauvage !	¡Ha aparecido un <b>{0}</b> salvaje!	Ein wildes <b>{0}</b> erscheint!	È apparso <b>{0}</b> selvatico!	A wild <b>{0}</b> appeared!	
encounter_pokeball_inventory_empty	Out of Poké Balls!	Message to player that they are out of Pokeball during an encounter	ボールがもうありません	Tu n’as plus de Poké Balls !	¡No te quedan Poké Balls!	Keine Pokébälle mehr!	Hai finito le Poké Ball!	Out of Poké Balls!	
encounter_score_total	TOTAL		TOTAL	TOTAL	TOTAL	Gesamt	TOTALE	TOTAL	
encounter_berry_already_used	You already used a Berry.		きのみはもう使えません	Tu as déjà utilisé une Baie.	Ya has usado una baya.	Du hast schon eine Beere benutzt.	Hai già usato una bacca.	You already used a Berry.	
encounter_unknown_cp	???		???	???	¿?	???	???	???	
err_get_bundle	Failed to get game data from the server.	Error message	サーバーからゲームデータを取得できませんでした	Erreur de lecture des données depuis le serveur.	No se han podido obtener los datos del juego del servidor.	Spieldaten konnten nicht vom Server abgerufen werden.	Impossibile recuperare i dati di gioco dal server.	Failed to get game data from the server.	
err_get_digest	Failed to get game data from the server.	Error message	サーバーからゲームデータを取得できませんでした	Erreur de lecture des données depuis le serveur.	No se han podido obtener los datos del juego del servidor.	Spieldaten konnten nicht vom Server abgerufen werden.	Impossibile recuperare i dati di gioco dal server.	Failed to get game data from the server.	
